Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
5,Daniella Cicardini Milla,Nueva Mayoría,Partido Socialista,13382,"24,07%",2013
6,Yasna Provoste Campillay,Nueva Mayoría,Democracia Cristiana ,16694,"43,91%",2013
6,Alberto Robles Pantoja,Nueva Mayoría,Partido Radical,5055,"13,30%",2013
7,Raúl Saldívar Auger,Nueva Mayoría,Partido Socialista,25764,"29,91%",2013
7,Sergio Gahona Salazar,Alianza,Unión Demócrata Independiente,20507,"23,80%",2013
8,Matías Walker Prieto,Alianza,Democracia Cristiana ,38573,"38,51%",2013
8,Daniel Núñez Arancibia,Nueva Mayoría,Partido Comunista,13394,"13,37%",2013
9,Luis Lemus Aracena,Nueva Mayoría,Partido Socialista,23802,"43,78%",2013
9,Jorge Insunza Gregorio de Las Heras,Nueva Mayoría,Partido por la Democracia ,15474,"28,46%",2013
10,Andrea Molina Oliva,Alianza,Unión Demócrata Independiente,40790,"33,52%",2013
10,Christián Urízar Muñoz,Nueva Mayoría,Partido Socialista,31353,"25,76%",2013
11,Marco Antonio Núñez Lozano,Nueva Mayoría,Partido por la Democracia ,48097,"48,98%",2013
11,Gaspar Rivas Sánchez,Alianza,Renovación Nacional,23826,"24,26%",2013
12,Arturo Squella Ovalle,Nueva Mayoría,Unión Demócrata Independiente,32570,"27,98%",2013
12,Marcelo Schilling Rodríguez,Alianza,Partido Socialista,29198,"25,08%",2013
13,Aldo Cornejo González,Nueva Mayoría,Democracia Cristiana ,34406,"29,69%",2013
13,Joaquín Godoy Ibáñez,Alianza,Renovación Nacional,24987,"21,56%",2013
14,Rodrigo González Torres,Nueva Mayoría,Partido por la Democracia ,40303,"28,04%",2013
14,Osvaldo Urrutia Soto,Alianza,Unión Demócrata Independiente,38005,"26,44%",2013
15,Víctor Torres Jeldes,Nueva Mayoría,Democracia Cristiana ,27561,"35,89%",2013
15,María José Hoffmann Opazo,Alianza,Unión Demócrata Independiente,21870,"28,48%",2013
16,Gabriel Silber Romo,Nueva Mayoría,Democracia Cristiana ,64696,"38,60%",2013
16,Patricio Melero Abaroa,Alianza,Unión Demócrata Independiente,39449,"23,54%",2013
17,Karla Rubilar Barahona,Alianza,Renovación Nacional,35402,"27,33%",2013
17,Daniel Farcas Guendelman,Nueva Mayoría,Partido por la Democracia ,32467,"25,06%",2013
18,Cristina Girardi Lavín,Nueva Mayoría,Partido por la Democracia ,61874,"45,50%",2013
18,Nicolás Monckeberg Díaz,Alianza,Renovación Nacional,39100,"28,75%",2013
19,Karol Cariola Oliva,Nueva Mayoría,Partido Comunista,35706,"38,40%",2013
19,Claudia Nogueira Fernández,Alianza,Unión Demócrata Independiente,23391,"25,16%",2013
20,Pepe Auth Stewart,Nueva Mayoría,Partido por la Democracia ,82856,"33,77%",2013
20,Joaquín Lavín León,Alianza,Unión Demócrata Independiente,58180,"23,71%",2013
21,Maya Fernández Allende,Nueva Mayoría,Partido Socialista,58186,"31,30%",2013
21,Marcela Sabat Fernández,Alianza,Renovación Nacional,53135,"28,58%",2013
22,Giorgio Jackson Drago,Independiente ,Independiente,55259,"48,17%",2013
22,Felipe Kast Sommerhoff,Alianza,Renovación Nacional,22431,"19,55%",2013
